"age","campaign_interest","vote_primary","vote_pres","right_track","ideology","govt_corrupt"
30,1,-1,-1,1,6,3
79,1,4,-1,2,4,4
78,1,2,-1,2,2,4
47,2,-1,-1,2,5,2
72,1,1,-1,2,2,3
71,1,-1,-1,2,99,4
36,2,-1,-1,1,5,2
35,2,1,-1,2,5,4
56,2,1,1,2,99,3
64,1,-1,-1,2,4,2
41,3,-1,-1,2,3,2
50,1,1,-1,2,4,4
77,1,8,-1,1,7,3
-9,1,-1,-1,2,4,3
31,2,8,-1,1,7,3
61,1,1,-1,2,3,3
62,1,1,-1,2,2,4
57,3,-1,-1,1,6,4
63,2,6,-1,2,3,3
75,2,1,-1,2,99,4
52,1,-1,-1,1,5,3
64,1,-1,-1,2,3,3
41,2,-1,-1,1,5,4
51,1,-1,-1,2,6,4
45,1,8,-1,1,6,2
68,1,1,-1,2,4,3
73,2,8,-1,1,6,4
65,2,-1,-1,2,5,2
52,1,-1,-1,1,7,4
64,1,8,-1,1,99,4
71,1,8,2,1,6,3
38,1,-1,-1,2,4,2
24,2,5,-1,2,3,3
66,1,8,-1,1,4,4
50,1,-1,-1,2,99,4
49,1,-1,-1,2,1,2
40,2,-1,-1,2,2,3
73,1,8,-1,1,7,3
65,3,-1,-1,2,4,2
34,2,-1,-1,1,4,3
53,1,6,-1,2,3,3
39,3,-1,-1,2,3,2
71,2,-1,-1,2,3,3
33,2,-1,-1,2,5,2
34,2,1,-1,2,2,3
59,3,-1,-1,2,6,4
72,1,-1,-1,1,99,2
52,2,-1,-1,2,3,3
53,1,-1,-1,1,7,3
35,2,-1,-1,2,4,2
68,1,8,-1,1,5,3
54,1,-1,-1,1,3,4
74,2,1,-1,-9,99,4
67,1,-1,-1,1,6,3
46,2,-1,-1,1,5,3
57,1,-1,-1,1,6,3
34,2,1,-1,2,4,2
56,1,2,-1,2,3,2
77,1,1,-1,2,3,3
43,2,-1,-1,2,5,3
66,3,-1,-1,2,3,4
-9,3,-1,-1,1,4,4
60,1,8,-1,2,6,2
39,1,8,-1,1,6,3
39,3,9,-1,2,5,4
-9,2,-1,-1,2,6,2
53,2,-1,-1,2,2,3
71,1,1,-1,2,2,4
76,1,8,-1,1,6,4
80,2,-1,-1,2,6,3
76,1,-1,2,2,99,3
-9,1,-1,-1,2,6,3
49,1,8,-1,-9,5,3
37,2,-1,-1,2,5,4
80,1,-1,-1,2,5,3
72,1,1,-1,2,4,3
51,1,-1,-1,1,7,3
70,1,3,-1,2,4,4
45,1,5,-1,2,99,2
31,1,5,-1,2,1,2
72,1,1,-1,2,2,3
71,1,8,-1,1,6,2
67,1,8,-1,1,7,2
36,2,-1,-1,2,5,3
58,1,-1,-1,2,5,2
64,2,-1,-1,2,5,2
34,2,-1,-1,2,4,2
36,1,5,-1,2,1,4
44,2,-1,-1,1,99,3
54,2,-1,-1,1,5,2
28,2,-1,-1,2,3,4
-9,2,8,-1,2,4,2
77,1,7,-1,1,6,3
70,1,8,-1,2,7,2
28,2,-1,-1,1,3,3
30,2,1,-1,2,4,4
37,1,5,-1,2,1,3
45,2,8,-1,1,6,4
68,1,6,-1,2,2,3
80,3,-1,-1,1,5,4
41,1,8,-1,1,4,4
32,1,5,-1,2,1,3
24,1,-1,-1,2,4,1
-9,1,1,1,2,3,3
42,2,1,-1,2,99,3
26,3,-1,-1,2,5,1
50,1,6,-1,2,2,3
46,1,1,-1,2,4,4
52,2,-1,-1,2,99,4
35,3,8,-1,2,99,3
76,1,-1,-1,2,99,4
63,1,1,-1,2,2,3
39,3,-1,-1,2,4,3
28,1,-1,-1,2,6,4
66,1,-1,-1,2,3,4
45,1,1,-1,2,3,4
69,1,6,-1,2,1,3
59,1,-1,-1,2,6,2
79,1,-1,-1,2,4,3
80,2,-1,-1,1,6,4
38,3,-1,-1,1,4,2
74,2,-1,-1,2,3,4
54,3,1,1,2,5,4
45,2,6,-1,1,2,2
42,1,-1,-1,2,4,2
75,1,8,-1,1,7,4
33,2,8,-1,2,99,4
40,2,-1,-1,2,4,1
56,3,-1,-1,1,99,2
44,1,-1,-1,2,4,2
80,1,-1,-1,2,99,2
25,2,1,-1,2,1,2
26,1,8,-1,1,99,4
75,1,4,-1,2,3,4
68,1,1,-1,2,99,4
27,1,-1,-1,2,4,2
46,3,1,-1,2,2,4
71,1,8,2,2,6,3
49,1,6,-1,2,2,4
57,3,-1,-1,2,99,3
80,1,-1,-1,2,5,3
66,1,-1,-1,2,6,3
43,3,-1,-1,1,6,4
55,1,8,-1,1,2,2
64,3,-1,-1,1,5,3
80,1,-1,-1,2,4,4
57,1,3,-1,2,2,2
32,2,-1,-1,2,3,2
53,2,-1,-1,1,99,3
68,2,8,-1,1,6,2
67,1,-1,-1,2,4,4
26,2,-1,-1,2,6,2
50,1,-1,-1,2,99,1
33,2,-1,-1,2,4,3
58,1,-1,-1,2,3,3
36,1,-1,-1,2,2,4
46,2,-1,-1,2,99,4
30,2,-1,-1,2,99,1
78,1,1,-1,2,3,-9
70,2,1,1,2,99,2
53,2,-1,-1,1,5,4
59,1,1,-1,2,3,3
39,1,-1,-1,1,6,3
46,3,2,-1,2,4,4
69,2,-1,-1,1,6,3
80,2,8,-1,1,5,3
31,1,6,-1,2,2,4
49,1,8,-1,1,6,3
41,1,1,-1,2,3,3
58,2,-1,-1,2,4,3
32,3,-1,-1,2,2,3
22,1,5,-1,2,4,2
59,2,-1,-1,2,5,3
29,1,1,-1,2,2,2
69,1,8,-1,1,6,3
39,3,-1,-1,2,99,2
39,1,5,-1,2,2,2
64,1,-1,-1,-9,99,3
53,1,-1,-1,2,99,4
65,1,-1,-1,1,7,3
36,1,-1,-1,2,5,2
76,1,-1,-1,2,-9,4
59,1,1,-1,2,4,4
51,1,8,-1,2,7,4
49,2,-1,-1,1,5,4
29,1,6,-1,2,2,4
29,2,-1,-1,2,99,2
47,1,-1,-1,1,4,4
64,1,1,-1,2,1,3
66,1,-1,-1,2,1,4
35,1,5,-1,2,2,3
80,1,8,-1,1,7,4
59,1,8,2,1,6,3
74,2,-1,-1,1,6,3
73,1,4,-1,2,6,4
29,1,5,-1,2,2,3
80,1,8,-1,1,5,3
-9,1,8,-1,1,7,2
-9,1,5,-1,2,1,2
54,2,-1,-1,2,7,4
-9,1,8,-1,2,6,4
43,2,1,-1,1,4,5
80,1,-1,-1,2,4,3
55,1,-1,-1,2,4,4
51,2,-1,-1,2,99,4
46,1,5,-1,2,2,2
38,2,8,-1,1,6,3
62,1,6,-1,2,2,3
60,1,-1,-1,1,6,3
43,2,1,-1,2,4,3
72,1,2,-1,2,4,4
80,1,-1,-1,2,2,2
23,1,-1,-1,2,2,4
68,1,8,-1,1,6,3
57,1,-1,-1,1,6,3
-9,2,-1,-1,1,6,3
52,1,1,-1,1,99,4
69,1,-1,-1,2,6,3
-9,3,-1,-1,2,5,2
39,2,-1,-1,1,4,3
72,2,-1,2,2,7,4
27,2,-1,-1,2,6,2
38,2,1,1,2,99,4
49,1,9,-1,2,5,4
-9,1,10,-1,2,99,4
68,1,8,-1,2,4,4
40,2,3,-1,2,4,3
49,2,-1,-1,1,5,4
26,2,-1,-1,1,99,4
34,1,-1,-1,2,3,2
51,2,-1,-1,2,7,2
23,2,-1,-1,1,7,3
80,1,1,-1,2,6,4
25,2,1,-1,2,3,2
80,1,1,-1,2,4,3
43,1,-1,-1,1,6,3
59,1,-1,-1,2,6,4
49,1,-1,-1,2,3,4
32,1,8,-1,1,6,4
69,1,6,-1,2,2,3
80,1,-1,2,1,6,2
45,2,5,-1,2,99,2
43,1,-1,-1,2,3,4
69,2,-1,-1,1,99,2
80,1,-1,-1,1,7,4
55,2,-1,-1,1,1,4
75,2,-1,-1,2,2,3
60,1,-1,-1,2,4,2
75,1,4,1,2,3,4
69,2,-1,-1,1,99,3
60,1,8,-1,2,6,3
59,2,-1,-1,2,2,3
26,1,6,-1,2,1,3
64,1,4,-1,2,4,4
64,2,-1,-1,2,99,3
62,2,8,-1,1,6,2
46,2,-1,-1,2,99,2
72,1,-1,-1,1,7,4
53,1,8,-1,1,7,3
33,2,-1,-1,2,6,2
61,1,-1,-1,2,4,2
24,3,-1,-1,2,4,2
58,2,-1,-1,2,6,3
47,2,-1,-1,2,4,2
63,2,-1,-1,2,99,4
64,1,-1,-1,2,6,3
55,2,-1,-1,2,6,2
41,2,-1,-1,2,99,3
68,1,3,-1,2,4,4
80,1,-1,-1,2,6,4
25,1,5,-1,2,1,2
66,1,-1,-1,2,7,2
63,1,-1,-1,1,5,4
34,1,-1,-1,2,99,4
55,1,-1,-1,1,4,2
73,1,-1,-1,1,6,4
80,1,8,-1,1,6,4
45,2,5,-1,2,1,2
50,2,-1,-1,2,4,3
54,1,-1,-1,1,6,4
70,1,8,-1,1,6,3
28,1,5,1,2,2,2
43,3,-1,-1,2,3,4
76,1,-1,-1,2,6,3
39,1,1,-1,2,3,3
50,1,-1,-1,1,6,4
74,1,1,-1,2,3,2
27,2,8,-1,2,2,4
76,1,-1,-1,2,3,3
33,1,8,-1,1,6,3
56,1,-1,-1,1,6,3
71,1,-1,-1,2,6,3
69,1,-1,-1,1,7,4
48,2,8,-1,1,6,4
57,1,6,-1,2,2,3
63,1,-1,-1,2,1,3
80,1,1,1,2,99,2
38,1,-1,-1,2,2,2
80,2,1,1,2,2,4
71,1,-1,-1,1,7,3
58,2,-1,-1,2,99,4
66,1,8,-1,1,7,3
45,2,-1,-1,2,7,3
31,2,-1,-1,2,2,3
49,2,-1,-1,2,6,2
80,1,1,-1,2,2,4
-9,3,-1,-1,2,4,2
61,1,1,-1,2,3,3
26,2,8,-1,1,4,3
45,3,6,-1,2,3,2
32,2,-1,-1,2,4,3
51,2,-1,-1,2,2,2
35,1,8,-1,2,6,3
56,1,-1,-1,1,6,3
46,2,-1,-1,2,2,3
35,3,7,-1,1,99,3
42,2,-1,-1,2,99,2
54,2,-1,-1,1,99,2
-9,1,1,-1,2,6,2
23,1,8,-1,2,5,2
33,3,-1,-1,2,3,3
73,1,-1,-1,2,2,2
54,1,-1,2,2,6,2
36,1,1,1,2,2,2
25,2,-1,-1,2,5,3
80,1,1,-1,2,3,4
69,1,1,-1,2,5,3
61,2,8,-1,1,6,4
55,3,-1,-1,2,99,3
79,1,1,-1,2,2,2
80,2,-1,-1,1,5,4
-9,3,-1,-1,2,4,4
60,1,-1,-1,2,99,2
43,2,-1,-1,2,4,3
41,2,-1,-1,2,4,3
36,2,-1,-1,1,6,3
73,1,1,-1,2,4,4
75,1,1,-1,2,4,4
62,1,-1,-1,2,99,3
73,1,-1,-1,2,6,4
33,2,-1,-1,1,6,3
80,1,8,-1,1,6,3
26,3,-1,-1,2,2,1
52,1,-1,-1,2,6,4
41,1,8,-1,2,6,4
67,1,1,-1,2,99,3
65,2,-1,-1,1,99,4
69,1,1,-1,2,2,3
59,1,-1,-1,2,4,2
59,1,-1,-1,2,4,3
